window_id,feature,feature_type,drift_metric,score,warning_threshold,critical_threshold,feature_status,warning_exceeded,critical_exceeded
1,confidence,continuous,PSI,0.006756571049515516,0.025581868889006126,0.02952227143082323,GREEN,False,False
1,defect_probability,continuous,PSI,0.007288336008596877,0.024832999546103747,0.02874174329482596,GREEN,False,False
1,failure_centroid_x,continuous,PSI,0.010857672123391096,0.025534097346435514,0.02936258212646439,GREEN,False,False
1,failure_centroid_y,continuous,PSI,0.003134294094629105,0.025130139077555135,0.03168859265401161,GREEN,False,False
1,failure_edge_fraction,continuous,PSI,0.009647785836435748,0.025402777630229877,0.029919227088399676,GREEN,False,False
1,failure_mean_radius,continuous,PSI,0.008028564434805784,0.02536562217384135,0.030815247093383492,GREEN,False,False
1,normal_probability,continuous,PSI,0.00722033267192375,0.024647146712390627,0.02876226689303025,GREEN,False,False
1,normalized_entropy,continuous,PSI,0.006408405179226827,0.025818585593176808,0.030553796208782298,GREEN,False,False
1,predicted_class_name,categorical,JSD,0.0011158536464376412,0.003132242203082213,0.0036255247858331947,GREEN,False,False
1,prediction_margin,continuous,PSI,0.011772884925472862,0.025360069488160105,0.0303741569714507,GREEN,False,False
1,processed_active_fraction,continuous,PSI,0.007868942223405196,0.025948834543237462,0.03038208540684488,GREEN,False,False
1,processed_failed_fraction,continuous,PSI,0.016899651092815705,0.024648610668626267,0.03233946545869498,GREEN,False,False
1,processed_failed_ratio,continuous,PSI,0.01651511067809511,0.025760901699207476,0.030610927959173178,GREEN,False,False
1,route,categorical,JSD,0.00014807434461789888,0.001136787975430607,0.0015842302449049592,GREEN,False,False
1,source_active_dies,continuous,PSI,0.007558653032809589,0.02531017192529947,0.030128757181022342,GREEN,False,False
1,source_aspect_ratio,continuous,PSI,0.006981662077971847,0.026148469526899844,0.030147720263835907,GREEN,False,False
1,source_failed_ratio,continuous,PSI,0.020200985615877777,0.02594542446658687,0.030890982197566967,GREEN,False,False
1,source_geometry,categorical,JSD,0.019037906647965567,0.030579662871238106,0.030547582698743175,GREEN,False,False
